Latitude,Longitude,Street,Incident_Count,Injured,Killed,Congestion_Index,Last_Incident_Date
40.642384,-73.925385,AVENUE D,2,0,0,0.42,2026-03-25T00:00:00.000
40.852272,-73.83937,Unknown,2,0,0,0.42,2026-04-08T00:00:00.000
40.691193,-73.997765,ATLANTIC AVE,2,0,0,0.42,2026-04-10T00:00:00.000
40.60485,-74.02559,BELT PARKWAY,2,0,0,0.42,2026-04-06T00:00:00.000
40.71976,-73.94476,BROOKLYN QUEENS EXPRESSWAY,2,0,0,0.42,2026-04-07T00:00:00.000
40.748993,-73.89687,69 ST,2,0,0,0.42,2026-04-06T00:00:00.000
40.86951,-73.89175,GRAND CONC,1,0,0,0.21,2026-03-24T00:00:00.000
40.78184,-73.97929,W 77 ST,1,0,0,0.21,2026-04-13T00:00:00.000
40.69982,-73.98721,Unknown,1,0,0,0.21,2026-04-04T00:00:00.000
40.583046,-74.09617,HYLAN BLVD,1,0,0,0.21,2026-03-23T00:00:00.000
40.694344,-73.80154,Unknown,1,0,0,0.21,2026-04-06T00:00:00.000
40.656612,-73.9309,UTICA AVE,1,0,0,0.21,2026-03-29T00:00:00.000
40.76998,-73.994644,12 AVE,1,0,0,0.21,2026-04-08T00:00:00.000
40.630634,-74.009224,65 ST,1,0,0,0.21,2026-03-24T00:00:00.000
40.74006,-73.789894,LONG ISLAND EXPRESSWAY,1,0,0,0.21,2026-03-22T00:00:00.000
40.667168,-73.93406,SCHENECTADY AVE,1,0,0,0.21,2026-03-28T00:00:00.000
40.61759,-73.93107,Unknown,1,0,0,0.21,2026-04-10T00:00:00.000
40.725845,-73.80819,Unknown,1,0,0,0.21,2026-03-30T00:00:00.000
40.57397,-73.99635,Unknown,1,0,0,0.21,2026-03-26T00:00:00.000
40.67864,-73.97351,FLATBUSH AVE,1,0,0,0.21,2026-04-06T00:00:00.000
40.602028,-74.18777,WEST SHORE EXPRESSWAY,1,0,0,0.21,2026-03-23T00:00:00.000
40.785423,-73.97794,Unknown,1,0,0,0.21,2026-03-30T00:00:00.000
40.84094,-73.87919,Unknown,1,0,0,0.21,2026-03-28T00:00:00.000
40.71134,-73.983315,GOUVERNEUR SLIP E,1,0,0,0.21,2026-04-09T00:00:00.000
40.649902,-73.88603,Unknown,1,0,0,0.21,2026-03-29T00:00:00.000
40.71174,-74.00699,PARK ROW,1,0,0,0.21,2026-04-13T00:00:00.000
40.665634,-73.75816,S CONDUIT AVE,1,0,0,0.21,2026-04-02T00:00:00.000
40.63654,-74.1624,CHRISTOPHER ST,1,0,0,0.21,2026-03-26T00:00:00.000
40.76032,-73.91366,Unknown,1,0,0,0.21,2026-04-11T00:00:00.000
40.81935,-73.93058,EXTERIOR STREET,1,0,0,0.21,2026-04-10T00:00:00.000
40.74604,-73.76785,LONG ISLAND EXPRESSWAY,1,0,0,0.21,2026-03-27T00:00:00.000
40.67757,-73.824646,114 ST,1,0,0,0.21,2026-03-25T00:00:00.000
40.61626,-73.99308,70 ST,1,0,0,0.21,2026-03-27T00:00:00.000
40.767696,-73.87614,JACKSON MILL RD,1,0,0,0.21,2026-04-12T00:00:00.000
40.793465,-73.94014,Unknown,1,0,0,0.21,2026-03-31T00:00:00.000
40.70455,-73.87335,78 AVE,1,0,0,0.21,2026-04-06T00:00:00.000
40.799984,-73.94485,E 116 ST,1,0,0,0.21,2026-04-07T00:00:00.000
40.647068,-73.99393,37 ST,1,0,0,0.21,2026-04-02T00:00:00.000
40.754856,-73.82827,Unknown,1,0,0,0.21,2026-04-02T00:00:00.000
40.6728,-73.983284,3 ST,1,0,0,0.21,2026-03-21T00:00:00.000
40.871582,-73.866,Unknown,1,0,0,0.21,2026-04-09T00:00:00.000
40.70496,-74.00913,Unknown,1,0,0,0.21,2026-04-01T00:00:00.000
40.909626,-73.8966,W 261 ST,1,0,0,0.21,2026-04-07T00:00:00.000
40.743767,-73.83748,VAN WYCK EXPWY,1,0,0,0.21,2026-04-08T00:00:00.000
40.835667,-73.882286,Unknown,1,0,0,0.21,2026-04-06T00:00:00.000
40.79284,-73.94726,Unknown,1,0,0,0.21,2026-03-31T00:00:00.000
